Item,Category,Include,Unit mass (g),Comments
"Backpack cover, green",,,97.5,
"Backpack, IBEX 80",,,3070.0,
"Backpack, Zulu 65",,,1732.0,
"Bear spray, with case",,,327.5,
Bowl / mug,,,,
"Bowl, collapsible",,,96.0,
Bug spray,,,,
"Caribeener, default",,,33.0,
"Caribeener, green",,,49.0,
"Caribeener, orange",,,93.5,
"Chair, black",,,972.0,
"Chair, blue",,,978.5,
Dishwashing supplies,,,,
"Dry bag, 10L, thick (red)",,,184.0,
"Dry bag, 30L, thin (blue)",,,173.5,
"Dry bag, 35L, thick (blue)",,,396.5,
"Dry bag, 55L, thick (red)",,,691.5,
"Dry bag, 55L, thick (yellow)",,,696.5,
Ear plugs,,,,
Emergency radio,Emergency,,257.5,
Film camera,Luxury,,,Get film camera from parents
Firstaid kit,Emergency,,,
"Glasses, Ray Bans",,,45.0,
"Gloves, dark, thin",,,37.0,
"GPS, with batteries",,,145.5,
"Hammock strap, blue",,,203.0,
"Hammock strap, red",,,152.0,
"Hammock, large",,,513.5,
"Hammock, small",,,415.5,
Hand sanitizer,,,,
"Hat, blue",,,119.0,
"Hat, touque",,,67.0,
"Headlamp, no batteries",,,53.0,
"Jacket, blue",,,492.0,
"Jacket, Pategonia",,,687.5,
Knife and utensils,,,,
Lip balm,Toiletries,,,
Non-axe wood gathering tool,,,,
"Pillow, large, orange",,,334.5,
"Pillow, small, lightweight, MEC",,,58.5,
"Pillow, small, MEC",,,124.5,
"Pole, gold",,,326.5,
"Poles, green, both",,,584.0,
"Pot, lid, titanium with orange bag",,,264.0,
"Rain jacket, arteryx",,,448.0,
"Rain jacket, green",,,167.5,
"Shoes, Crocks",,,257.0,
"Sleep pad, green",,,754.0,
Sleeping bag liner,,,267.0,
"Sleeping bag, blue, stuff case",,,1186.5,
"Sleeping bag, green, white bag",,,1474.5,
"Solar panel, no cords",,,486.0,
Sun protection for neck,,,,
Sunscreen,Toiletries,,,
Swedish fire stove,,,435.0,
"Tarp, hammock with bag",,,702.0,
Tent,,,2604.0,
Tide table,Admin,,,
Toilet paper,,,,
"Towel, MEC",,,179.0,
"Trangia (large, two pots)",,,1019.0,
"Trangia (small, no pots)",,,816.5,
Trekking poles,,,,
Utility knife,,,100.0,
Watch,,,20.9,
Waterbottle,,,,
Waterproof document container,Admin,,,"For tide table, map, permit, etc. Large ziplock"
Weed,,,,